"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EP300",0.0406656302768951,-0.145969981282191,0.275,0.333,1
"SACM1L",0.426491244401112,0.145882952905053,0.307,0.305,1
"CASD1",0.630891845838827,0.14587055792847,0.09,0.1,1
"MYCBP2",0.540749551216416,0.145868718915925,0.34,0.343,1
"THAP11",0.626706678267038,0.145866095467483,0.247,0.251,1
"ADPRS",0.227881844707297,-0.145807150391359,0.207,0.238,1
"HSD17B10",0.167404626274393,-0.145643807826532,0.228,0.273,1
"MFSD14CP",0.77476876670872,0.145638088429327,0.148,0.144,1
"NDUFAF8",0.142988540616524,-0.145598254370546,0.164,0.198,1
"EBLN3P",0.75124801668131,0.145581386543381,0.113,0.11,1
"WDR75",0.241688979962501,-0.145531844877394,0.109,0.13,1
"CNOT8",0.421478937245887,0.145472409158517,0.288,0.279,1
"TSFM",0.471782574859453,0.145387893938689,0.137,0.126,1
"BAG5",0.127088937016491,-0.145339723547544,0.139,0.17,1
"CRKL",0.385155297699322,0.14527951092054,0.213,0.198,1
"ZDHHC20",0.462938006607665,0.145257726558397,0.28,0.273,1
"CLIC3",0.147762821079226,0.145201776420702,0.312,0.285,1
"XRCC6",0.0567757724479128,0.145042640088616,0.697,0.689,1
"MALSU1",0.188780638574818,-0.14501948093029,0.139,0.166,1
"SNHG14",0.0713256483619543,-0.14493262027458,0.175,0.216,1
