"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"RALGPS2","OK",0,49.5165327721512,0.0938308981057203,"RALGPS2",0
"C1orf21","OK",0,196.384161591731,0.372421852164414,"C1orf21",0
"NIBAN1","OK",0,166.041871181676,0.314874983842155,"NIBAN1",0
"IVNS1ABP","OK",0,38.8102403601562,0.0735663391773669,"IVNS1ABP",0
"RGS1","OK",0,48.0654360131631,0.0911151414362795,"RGS1",0
"ENSG00000227240","OK",0,62.5261936887304,0.11819468811054,"ENSG00000227240",0
"PTPRC","OK",0,117.396681780524,0.222571770408526,"PTPRC",0
"ATP2B4","OK",0,85.9025446418111,0.162881959581621,"ATP2B4",0
"FCMR","OK",0,62.6747730008801,0.118822222262919,"FCMR",0
"CD55","OK",0,192.804443437259,0.365632058985204,"CD55",0
"DUSP10","OK",0,47.7723341038817,0.0905632775341341,"DUSP10",0
"LBR","OK",0,39.7410284309787,0.0753316391736583,"LBR",0
"ITPKB","OK",0,50.5255670150443,0.0957838439561068,"ITPKB",0
"SIPA1L2","OK",0,38.608859324979,0.0731109002529221,"SIPA1L2",0
"SH3YL1","OK",0,52.6158638969989,0.0997331677435635,"SH3YL1",0
"RPS7","OK",0,39.5692759306918,0.0749569434868112,"RPS7",0
"LINC01871","OK",0,72.6259220468165,0.137695387792085,"LINC01871",0
"ID2","OK",0,61.8917500472895,0.117342552993854,"ID2",0
"MAPRE3","OK",0,79.2304767266344,0.150200660535834,"MAPRE3",0
"YPEL5","OK",0,55.2148919267576,0.104676405015985,"YPEL5",0
"HNRNPLL","OK",0,111.035555445037,0.210545326025714,"HNRNPLL",0
"GALM","OK",0,47.6660870057287,0.0903577735557234,"GALM",0
"SRSF7","OK",0,71.5640550635338,0.135681092793427,"SRSF7",0
"SPTBN1","OK",0,76.851500559802,0.145715316880817,"SPTBN1",0
"RPS27A","OK",0,82.4012582540153,0.156137580458579,"RPS27A",0
"REL","OK",0,64.9549931959897,0.123152610445565,"REL",0
"PELI1","OK",0,65.4044744094993,0.124001660369715,"PELI1",0
"SLC1A4","OK",0,40.8854604140517,0.0774939490548535,"SLC1A4",0
"PLEK","OK",0,123.204516390385,0.233620850037865,"PLEK",0
"ARHGAP25","OK",0,52.4640740726157,0.0994587949962493,"ARHGAP25",0
"TRABD2A","OK",0,44.4123721552284,0.0841686057260062,"TRABD2A",0
"TMSB10","OK",0,49.5185274908189,0.0938592828066064,"TMSB10",0
"CAPG","OK",0,44.1099221637392,0.0835900904131989,"CAPG",0
"GNLY","OK",0,325.770776755642,0.617815276463323,"GNLY",0
"CD8A","OK",0,187.020322050317,0.35464956079307,"CD8A",0
"CD8B","OK",0,92.5771359072577,0.175540861309756,"CD8B",0
"CYTOR","OK",0,79.2621217255361,0.150286780172802,"CYTOR",0
"MAL","OK",0,115.164426841831,0.218339223645846,"MAL",0
"DUSP2","OK",0,190.396923098708,0.361061519850127,"DUSP2",0
"RPL31","OK",0,41.8094141255126,0.0792348948594491,"RPL31",0
"IL18RAP","OK",0,56.6656498178215,0.107361415764703,"IL18RAP",0
"NCK2","OK",0,47.6237145880828,0.0902808424044277,"NCK2",0
"MIR4435-2HG","OK",0,47.6760700760738,0.090377270958297,"MIR4435-2HG",0
"FBLN7","OK",0,39.442520931264,0.0745387783281297,"FBLN7",0
"PTPN4","OK",0,43.9382695322355,0.0832915143773285,"PTPN4",0
"TFCP2L1","OK",0,51.8259755566245,0.0981353494056399,"TFCP2L1",0
"CXCR4","OK",0,42.4717235733516,0.0804976592930957,"CXCR4",0
"ZEB2","OK",0,337.993852794444,0.64099774704271,"ZEB2",0
"NR4A2","OK",0,86.9149091581465,0.164800782211653,"NR4A2",0
"CYTIP","OK",0,53.5903036297656,0.101595159658979,"CYTIP",0
"SLC4A10","OK",0,150.19519659193,0.284304196105443,"SLC4A10",0
"WIPF1","OK",0,70.973814406059,0.134567068813712,"WIPF1",0
"ITGA4","OK",0,59.9480302208614,0.113656486686079,"ITGA4",0
"ITGAV","OK",0,48.188864821591,0.0913502552386237,"ITGAV",0
"PGAP1","OK",0,63.5293995894362,0.120441705582691,"PGAP1",0
"PLCL1","OK",0,84.8943454846697,0.160952410293746,"PLCL1",0
"CFLAR","OK",0,42.9801683497073,0.0814752295671833,"CFLAR",0
"FAM117B","OK",0,50.7030599361938,0.0961078890358063,"FAM117B",0
"CD28","OK",0,93.9518418050457,0.178135081370866,"CD28",0
"ICOS","OK",0,55.6361308736125,0.105470609788777,"ICOS",0
"EEF1B2","OK",0,104.877315127797,0.19883221346228,"EEF1B2",0
"KLF7","OK",0,65.6957623230003,0.12452321151981,"KLF7",0
"IKZF2","OK",0,153.316854512732,0.290680298352688,"IKZF2",0
"ARPC2","OK",0,86.5680099232674,0.164131966792799,"ARPC2",0
"TUBA4A","OK",0,156.3016244192,0.296398165986661,"TUBA4A",0
"EPHA4","OK",0,50.7671573242019,0.096240939391786,"EPHA4",0
"DOCK10","OK",0,61.6518262040324,0.116887588283115,"DOCK10",0
"CCL20","OK",0,131.708483214194,0.248795593028153,"CCL20",0
"B3GNT7","OK",0,55.3791952272583,0.104873411922328,"B3GNT7",0
"SNED1","OK",0,153.530491408831,0.291096934470026,"SNED1",0
