Edit_Distance,PID,Epitope_Target,Total_Clonal_Frequency
ED2,S009,Spike,12
ED2,S009,TetanusToxoid,4
ED2,S009,EB3A;EB4,3
ED2,S009,BMLF1,2
ED2,S009,EB4,2
ED2,S009,PMEL,2
ED2,S009,pp65;UL29,2
ED2,S010,Unknown,1103
ED2,S010,NP177,94
ED2,S010,UL29,45
ED2,S010,EB4;UL29,37
ED2,S010,TetanusToxoid,16
ED2,S010,NP177;pp50;UL29,12
ED2,S010,IGF2BP2;NS5B,10
ED2,S010,M1,8
ED2,S010,NP177;NS5B;OR5M3-KMV;ORF3;TetanusToxoid;UL29;OR5M3-KMV,6
ED2,S010,EB3A,4
ED2,S010,CFP10,3
ED2,S010,BMLF1,2
ED2,S010,EB4,2
