"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
2.88377999601808e-09,-0.515969469233456,0.038,0.035,5.42208314851319e-05,"Memory B","ENKD1","down"
6.03610039190113e-28,-0.515107420914997,0.55,0.559,1.13490759568525e-23,"Memory B","ZCCHC7","down"
2.09424913117535e-28,-0.515100203006776,0.186,0.184,3.93760721643589e-24,"Memory B","ZNF274","down"
6.92065930938967e-57,-0.515012227997215,0.934,0.974,1.30122236335145e-52,"Memory B","CXCR4","down"
3.53648426908784e-18,-0.514696330130064,0.102,0.099,6.64929772273897e-14,"Memory B","BCR","down"
5.93509413891321e-14,-0.514237473093092,0.059,0.056,1.11591639999846e-09,"Memory B","ATXN7L2","down"
1.825498741906e-33,-0.513774690090609,0.417,0.417,3.43230273453166e-29,"Memory B","ETS1","down"
5.09449076629052e-26,-0.512005962796829,0.162,0.155,9.57866153877943e-22,"Memory B","ENSG00000249207","down"
3.72929648407375e-24,-0.511494840480021,0.164,0.163,7.01182324935546e-20,"Memory B","POLR2M","down"
9.27080431122263e-13,-0.510828847137004,0.069,0.065,1.74309662659608e-08,"Memory B","MYEF2","down"
1.39748534531215e-26,-0.510485424382096,0.309,0.322,2.62755194625591e-22,"Memory B","DGKD","down"
2.94293144980997e-23,-0.507864419937387,0.199,0.186,5.53329971193271e-19,"Memory B","ZNF10","down"
2.48695226562953e-34,-0.507117927364872,0.674,0.758,4.67596764983665e-30,"Memory B","RFTN1","down"
6.27268816735503e-30,-0.506047481056426,0.211,0.2,1.17939082922609e-25,"Memory B","UGT8","down"
3.73409296331029e-38,-0.505488494644558,0.292,0.286,7.02084158961601e-34,"Memory B","BLOC1S6","down"
3.57920605704157e-34,-0.505453374375086,0.549,0.563,6.72962322844955e-30,"Memory B","ESYT2","down"
1.7880470356511e-07,-0.505394324923132,0.034,0.032,0.0033618860364312,"Memory B","ZNF496","down"
3.27627247151914e-08,-0.505011374006943,0.048,0.046,0.000616004750095028,"Memory B","ADAM9","down"
3.36577264240932e-07,-0.504764271858837,0.025,0.022,0.00632832572225799,"Memory B","ZNF681","down"
4.68767146397467e-19,-0.504287692461153,0.21,0.217,8.81375988656518e-15,"Memory B","EPB41L2","down"
9.44584968689105e-07,-0.503747282831644,0.038,0.037,0.0177600865812926,"Memory B","CCDC62","down"
1.20441188653674e-41,-0.503374176279023,0.296,0.289,2.26453522906639e-37,"Memory B","OXCT1","down"
2.40207897712321e-13,-0.502752140386003,0.101,0.104,4.51638889278706e-09,"Memory B","EFCAB13","down"
5.62310075678473e-34,-0.502081617394036,0.228,0.211,1.05725540429067e-29,"Memory B","STIM1","down"
9.33592662649969e-20,-0.502056511195108,0.124,0.118,1.75534092431447e-15,"Memory B","ACER3","down"
1.23621207696522e-11,-0.501852870935054,0.052,0.049,2.32432594711e-07,"Memory B","H6PD","down"
