"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABLIM1",0.239159894137402,-0.534940886933996,0.536,0.662,1
"SRPK2",0.321753069216893,-0.53490089881797,0.393,0.521,1
"ELOVL5",0.356079615907738,0.534705597820789,0.5,0.408,1
"GIMAP2",1,0.53461655829375,0.107,0.113,1
"PRPF6",0.256784027469513,0.534609686333077,0.357,0.239,1
"MYO1F",0.408628429895224,0.534569179722867,0.357,0.282,1
"NOTCH2NLC",0.128665110931017,0.534566081666097,0.25,0.113,1
"RPRD2",0.48557434590139,-0.534512090726894,0.214,0.268,1
"ZBED6",0.537524212664966,-0.534257081332194,0.071,0.113,1
"HEXB",0.499047785659909,-0.533871318294483,0.071,0.113,1
"SEC11A",0.4686475512629,-0.533726866649885,0.25,0.31,1
"WASHC3",0.43872291048548,-0.533153538032676,0.143,0.211,1
"TSC22D4",0.430725591510867,0.532866878276417,0.321,0.239,1
"H2AZ1",0.292834739811376,0.532637789845453,0.643,0.563,1
"TXNDC9",0.965232042839866,0.53212188517494,0.143,0.155,1
"INPP4B",0.466591356101856,0.532057817102442,0.179,0.113,1
"HDAC1",0.752621941188469,0.531619345782322,0.25,0.239,1
"MLLT10",0.614959414661658,-0.531611586400165,0.107,0.141,1
"SNHG29",0.0358522429331973,0.531572601045083,0.821,0.789,1
"MARS1",0.260797738886929,0.531375495335236,0.393,0.282,1
"UFM1",0.480588410883205,0.531348229064056,0.321,0.282,1
"GABPA",0.69692226094617,0.53129533741894,0.107,0.085,1
"PBDC1",0.559637693008152,0.531145148876824,0.214,0.169,1
"ERLEC1",0.474312070540036,-0.53081560193605,0.286,0.338,1
"SYT11",0.586817741912884,-0.530662082938208,0.179,0.225,1
"GATA3",0.60520100659472,-0.530449078383127,0.214,0.282,1
"LSM8",0.274462643998227,-0.53026760412208,0.25,0.366,1
"RAB3GAP1",0.956495087881683,-0.530166546704705,0.179,0.155,1
"ANKRD11",0.129303178755862,0.530160228647391,0.679,0.465,1
"ASXL2",0.28424227086225,0.529919087737844,0.357,0.254,1
"CHMP4B",0.565669650134067,0.529639626945088,0.321,0.254,1
"PRDX2",0.139963177008663,0.529578645126661,0.214,0.099,1
"PHF23",0.564135389530713,0.529252450728274,0.143,0.099,1
"DCAF10",0.477780082376245,-0.528939809012698,0.107,0.169,1
"COPS8",0.226929504559378,-0.528865749353085,0.179,0.31,1
"PRKCA",0.308730537675373,-0.528726705013045,0.179,0.268,1
"NONO",0.484141252488117,-0.528581013748707,0.429,0.437,1
"ERGIC2",0.632040509381739,-0.528470551940312,0.143,0.183,1
"ZNF91",0.729719770066615,0.528275449867637,0.179,0.155,1
"RCL1",0.604587768433139,0.52812822827147,0.107,0.07,1
"TNPO3",0.451623034872326,-0.528061412451723,0.179,0.239,1
"ZNF414",0.581845167205705,0.527632705885237,0.107,0.07,1
"CTCF",0.38143492809121,0.527580129030033,0.357,0.254,1
"RPS6KA3",0.432753179555778,-0.527563710997068,0.321,0.352,1
"ZNF451",0.698860252487834,-0.527544846618435,0.25,0.254,1
"EIF4E",0.402555672705235,-0.527515064564584,0.25,0.352,1
"BCL7B",0.500650687215691,0.527382755349531,0.357,0.282,1
"AMD1",0.673808870474505,0.527322661154977,0.286,0.268,1
"BTN3A1",0.466670749272496,-0.526810828611361,0.214,0.268,1
"KMT2C",0.477008514966973,0.526675087666724,0.429,0.352,1
"NEDD8",0.216428455329053,-0.526562083453196,0.429,0.521,1
"WSB2",0.627175854474187,0.526174304879101,0.179,0.141,1
"MIEN1",0.489137030349005,0.526157314618956,0.214,0.155,1
"MIR142HG",0.170872168835683,-0.526068458615945,0.286,0.451,1
"RETREG2",0.495700165696493,0.525961029432646,0.25,0.183,1
"NUDCD2",0.58345853518032,-0.525906815769681,0.179,0.211,1
"SLC39A9",0.593166535920896,0.525888041500961,0.107,0.07,1
"HIBADH",0.462470127695724,-0.525692398563589,0.107,0.169,1
"SHISA5",0.519668457414947,-0.525511675645443,0.393,0.451,1
"HOOK3",0.248140676077456,0.524991212384156,0.321,0.197,1
"SS18L2",0.518485987499927,0.524833378232383,0.393,0.338,1
"DNTTIP1",0.289700489897927,0.524725793791863,0.357,0.211,1
"PPIL2",0.36208600548932,0.524722870237948,0.179,0.099,1
"MCOLN2",0.418510789666183,-0.524712295654914,0.25,0.352,1
"FAM172A",0.83910763038786,-0.524538215269918,0.286,0.268,1
"RAB8B",0.0808702907470998,-0.523738604989429,0.25,0.465,1
"ENSG00000283674",0.656016407248454,0.523714133369624,0.143,0.113,1
"LSM10",0.474915888892524,0.523427860307235,0.25,0.183,1
"PEX3",0.396532544800314,0.523192177355499,0.25,0.169,1
"NCOR2",0.336093646141202,-0.523167093446552,0.143,0.239,1
"NPC1",0.322808784054454,0.522997868862538,0.321,0.239,1
"FPGS",0.737038280071791,-0.522917902027751,0.107,0.127,1
"CLIP4",0.568341980163508,-0.522747625197658,0.179,0.211,1
"LSM3",0.157737550797687,-0.52270082682675,0.214,0.352,1
"VHL",0.731793298869565,0.522223814707175,0.107,0.085,1
"APBB1",0.806545520906735,0.522092442993487,0.143,0.127,1
"ADA",0.973600775920869,-0.521671338373343,0.143,0.127,1
"CERS5",0.578241614682946,-0.521359310654209,0.107,0.141,1
"NOL7",0.152389004723266,0.521101750090508,0.607,0.549,1
"SNX13",0.578241614682946,-0.520556835624981,0.107,0.141,1
"ENSG00000291203",0.547371003895676,-0.520552875610373,0.071,0.113,1
"SNAPC3",0.731793298869565,0.51933933192406,0.107,0.085,1
"HEXA",0.434116494783259,0.519278113147677,0.286,0.211,1
"MBNL1",0.0645423961940576,-0.519230962676554,0.857,0.845,1
"PPWD1",0.427148888369811,0.519033040238263,0.321,0.225,1
"BBS9",0.903455972151039,-0.518751535293002,0.179,0.183,1
"SLC43A2",0.391634589216643,0.518708485003764,0.107,0.056,1
"AP3S1",0.428175130446691,-0.518681096112658,0.25,0.31,1
"UFC1",0.229711163191352,-0.518601627932334,0.357,0.493,1
"AKIRIN2",0.281221155591712,0.518175025014374,0.464,0.324,1
"DANCR",0.491863201113188,-0.518159499777059,0.143,0.197,1
"MRFAP1L1",0.902707536936011,0.517834534293862,0.286,0.282,1
"SIN3A",0.509006282732171,-0.517416172266543,0.107,0.155,1
"PRKCQ-AS1",0.0730723579708653,0.517262207248843,0.429,0.239,1
"FAF1",0.264936012352431,-0.516651972117866,0.25,0.38,1
"RPS27L",0.173029520282134,0.516486565379663,0.464,0.296,1
"TYW1",0.534770516136933,-0.516443401707994,0.143,0.183,1
"CLSTN3",0.810453187809631,0.51585014173172,0.107,0.127,1
"SSR2",0.0918590585509016,0.515572871467642,0.786,0.69,1
"PHF10",0.51726778086835,0.515323417019485,0.179,0.127,1
"TADA3",0.50411138695256,0.514997977256462,0.214,0.155,1
"CCDC107",0.557251019230137,-0.514750980573835,0.179,0.225,1
"CASP1",0.421276618615178,0.514461769332349,0.107,0.056,1
"EXOC1",0.227735200409405,0.514198606956713,0.25,0.127,1
"C11orf98",0.33053114189661,-0.514189809050112,0.214,0.31,1
"WDR43",0.316092307665494,-0.514177764732175,0.143,0.225,1
"N4BP3",0.579358251939174,-0.514065649781864,0.179,0.225,1
"VPS36",0.242361017337615,-0.513942683813543,0.143,0.254,1
"TRAK1",0.420149010447153,0.513931601019005,0.214,0.141,1
"RTF2",0.32839295242023,-0.513927832411326,0.25,0.352,1
"TRIM4",0.235649823277369,-0.513582498096922,0.214,0.352,1
"SPCS3",0.371761483900482,0.513467560313982,0.357,0.282,1
"BUD23",0.591260063704508,0.513371434723369,0.286,0.254,1
"COX7A2",0.722902705497677,0.513345473366376,0.75,0.676,1
"ZNF770",0.528964152608325,-0.513202262510087,0.143,0.197,1
"UBE2V1",0.436594842761915,0.512939025264395,0.393,0.31,1
"BTD",0.404045785240256,-0.512407071375272,0.107,0.169,1
"ENSG00000226824",0.466591356101856,0.512380393407766,0.179,0.113,1
"EPB41",0.14758196729581,0.512082221684057,0.571,0.423,1
"LAT",0.0972461182397599,-0.512066526102553,0.821,0.845,1
"COPZ1",0.422198692627918,0.511641087807493,0.25,0.169,1
"XRRA1",0.489137030349005,0.511523098957188,0.214,0.155,1
"CD82",0.474405596569247,0.511491148719169,0.214,0.155,1
"TRIAP1",0.446163404647008,-0.511310613164322,0.071,0.127,1
"HDDC2",0.796312779099566,0.511234227760818,0.143,0.127,1
"NUP214",0.325287406524122,0.511208361113854,0.286,0.183,1
"MYLIP",0.0564112611555535,-0.511199516654997,0.179,0.394,1
"CALM3",0.350341437689256,-0.511132424033445,0.214,0.31,1
"RHEB",0.354412149453468,-0.511007028916485,0.25,0.338,1
"TDG",0.607204941301628,-0.510992244846091,0.143,0.197,1
"DAP",0.358414782384361,0.510956124373431,0.25,0.155,1
