"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","direction"
2.19771014763547e-27,1.84463069459756,0.698,0.388,2.70318348159163e-25,"ITGA6","Inflammatory monocyte","up"
9.06227127313805e-27,1.45558013882481,1,1,1.11465936659598e-24,"PECAM1","Inflammatory monocyte","up"
4.39694736025329e-12,1.28438827678528,0.836,0.671,5.40824525311155e-10,"CD244","Inflammatory monocyte","up"
8.66831946859014e-16,1.20427324725978,0.406,0.182,1.06620329463659e-13,"CD226","Inflammatory monocyte","up"
1.02868408124066e-30,1.18174920071256,0.836,0.554,1.26528141992601e-28,"SELP","Inflammatory monocyte","up"
5.57967854064049e-14,1.16342803208551,0.598,0.372,6.8630046049878e-12,"CD45RO","Inflammatory monocyte","up"
4.14903712855917e-07,0.481222264034737,0.474,0.333,5.10331566812778e-05,"CD4","Inflammatory monocyte","up"
8.7678292310896e-09,0.310710070470357,0.964,0.912,1.07844299542402e-06,"CD48","Inflammatory monocyte","up"
7.53199011829936e-12,0.260219279241623,0.643,0.453,9.26434784550821e-10,"CD45RA","Inflammatory monocyte","up"
5.27607600013368e-07,-0.711867300076603,0.757,0.638,6.48957348016443e-05,"ANPEP","Inflammatory monocyte","down"
5.696589956718e-22,-0.895914571068088,0.994,0.996,7.00680564676314e-20,"CLEC12A","Inflammatory monocyte","down"
1.10411816669452e-11,-1.14843717245625,0.951,0.831,1.35806534503427e-09,"CD99","Inflammatory monocyte","down"
2.26924269237254e-16,-1.26721572047741,0.955,0.98,2.79116851161822e-14,"HLA-DRA","Inflammatory monocyte","down"
0.000178892229538523,-1.43617081739058,1,1,0.0220037442332384,"CD44","Inflammatory monocyte","down"
2.66801932819463e-22,-1.93348636269553,0.568,0.786,3.28166377367939e-20,"ITGA1","Inflammatory monocyte","down"
2.69852254018553e-13,-1.95247326992831,1,1,3.3191827244282e-11,"ITGAL","Inflammatory monocyte","down"
2.06245050304989e-12,-2.00118402918912,0.753,0.824,2.53681411875136e-10,"CD14","Inflammatory monocyte","down"
3.24851834890353e-25,-2.86128345216511,0.998,0.995,3.99567756915134e-23,"ITGB2","Inflammatory monocyte","down"
4.93224057901041e-12,-2.88808184280204,0.991,0.998,6.06665591218281e-10,"CD33","Inflammatory monocyte","down"
5.39358677528894e-12,-2.90693287910185,0.93,0.903,6.63411173360539e-10,"CR1","Inflammatory monocyte","down"
3.61801208440737e-06,-3.46030645452475,0.06,0.151,0.000445015486382106,"IL3RA","Inflammatory monocyte","down"
7.94566355909882e-08,-4.99045437771943,0.964,0.962,9.77316617769155e-06,"ICAM1","Inflammatory monocyte","down"
3.87227186268298e-15,-5.3948753980535,0.011,0.147,4.76289439110006e-13,"SIGLEC1","Inflammatory monocyte","down"
1.28029425743668e-14,-5.65466059036453,0.989,0.984,1.57476193664711e-12,"ITGAX","Inflammatory monocyte","down"
8.54417381256029e-09,-5.75882788589396,0.355,0.212,1.05093337894492e-06,"SELL","Inflammatory monocyte","down"
3.44194526026846e-45,-7.60445268292847,1,0.996,4.2335926701302e-43,"CD36","Inflammatory monocyte","down"
2.02643497898076e-10,-8.43072293509649,0.736,0.849,2.49251502414634e-08,"CD86","Inflammatory monocyte","down"
1.34981708877246e-05,2.89695380646093,0.949,0.906,0.00166027501919013,"CD45RA","Non-classical/CD16+ monocyte","up"
1.43973300036531e-25,1.40624818570167,0.546,0.21,1.77087159044933e-23,"CD52","Non-classical/CD16+ monocyte","up"
4.88631689056321e-07,1.08156622607886,1,0.993,6.01016977539275e-05,"CD44","Non-classical/CD16+ monocyte","up"
1.05207008803194e-09,0.707613253955113,1,0.993,1.29404620827929e-07,"ITGA4","Non-classical/CD16+ monocyte","up"
0.000300115712862063,0.553719408006711,0.432,0.313,0.0369142326820337,"FAS","Non-classical/CD16+ monocyte","up"
5.71813013308499e-06,-0.878269527486477,0.971,0.911,0.000703330006369454,"CD244","Non-classical/CD16+ monocyte","down"
6.35654916358003e-10,-1.15490633350368,1,0.995,7.81855547120344e-08,"PECAM1","Non-classical/CD16+ monocyte","down"
3.5436277525076e-14,-1.2001894397549,0.873,0.959,4.35866213558435e-12,"HLA-DRA","Non-classical/CD16+ monocyte","down"
0.000265549371760814,-2.89022027915609,0.219,0.324,0.0326625727265801,"ITGAM","Non-classical/CD16+ monocyte","down"
3.10829767405102e-05,-3.09724524748458,0.057,0.149,0.00382320613908275,"CD14","Non-classical/CD16+ monocyte","down"
2.69791812683581e-05,-3.66501556431951,0.997,0.998,0.00331843929600804,"ITGAX","Non-classical/CD16+ monocyte","down"
5.065065801623e-05,-4.11308540684155,0.114,0.221,0.00623003093599629,"FCGR1A","Non-classical/CD16+ monocyte","down"
2.89888654776002e-16,-4.73509265372075,0.962,0.996,3.56563045374482e-14,"CLEC12A","Non-classical/CD16+ monocyte","down"
0.000141011379149607,-5.00402501306894,0.476,0.569,0.0173443996354017,"ENTPD1","Non-classical/CD16+ monocyte","down"
1.57494012738111e-06,-5.22832769181578,0.041,0.146,0.000193717635667877,"ITGA1","Non-classical/CD16+ monocyte","down"
4.31391900856641e-22,-8.24827918604825,0.016,0.278,5.30612038053669e-20,"CD58","Non-classical/CD16+ monocyte","down"
4.71883696017638e-09,-10.0502857706763,0.975,0.995,5.80416946101694e-07,"CD86","Non-classical/CD16+ monocyte","down"
0.000336558858737497,-12.0891004965549,0.333,0.409,0.0413967396247122,"CD36","Non-classical/CD16+ monocyte","down"
1.81954021837279e-17,-14.0597769569262,0.803,0.877,2.23803446859854e-15,"LILRB1","Non-classical/CD16+ monocyte","down"
1.16981026507701e-29,-22.8849449646263,0.651,0.897,1.43886662604472e-27,"CD33","Non-classical/CD16+ monocyte","down"
